"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"57",-0.0315697480109183,-0.0396000464643027,-0.0494968707254628,-0.0584756102054698,-0.0642101381668745,-0.0730798058338911,-0.0708366967120231,-0.0789677567018181,-0.0934522547237711,-0.101810268162795,-0.110501628348755,-0.0287414428234056,-0.196526638647645,-0.133390105223031,-0.137659509512674
"58",-0.0347777481953164,-0.0399308432255188,-0.0458117706696601,-0.0600250214458207,-0.0680886919435642,-0.074022443419695,-0.0825113209335537,-0.0835941286503754,-0.0901217351859458,-0.100963792530353,-0.108432036569867,-0.0241270083148857,-0.191623785250759,-0.136050543052936,-0.142696403539983
"59",-0.0315153940977728,-0.0424292195139602,-0.0453588078034421,-0.0555233052870436,-0.0687353732167466,-0.0769296413749148,-0.0824064405019236,-0.0942374325001269,-0.0942546630568488,-0.0980929916504056,-0.105322308169136,-0.0184479558134054,-0.183292895517103,-0.135013804652651,-0.144009778772873
"60",-0.0234718488001979,-0.0373098550229454,-0.0458857590123927,-0.0529970346971593,-0.0619728949435219,-0.075179972474948,-0.0827688991839439,-0.091412594047676,-0.0997430440815323,-0.0999148384028272,-0.100771433887003,-0.0111289087046416,-0.170751180087396,-0.129040624129258,-0.139466528148628
"61",-0.0258676170583243,-0.0287052468526294,-0.0402198150768278,-0.0528775837944728,-0.0587427534345091,-0.0676558045046134,-0.0801741146379467,-0.090870613050293,-0.0960252617212429,-0.102293327773404,-0.102172273255444,-0.00566252526484146,-0.157811755407873,-0.121495707252137,-0.132456832625264
"62",-0.031268164719279,-0.0317072986984366,-0.0323902161518417,-0.04796454086976,-0.0593420236309843,-0.0652106701746993,-0.073432557382799,-0.0891024678827987,-0.0965942654801433,-0.0996210898634899,-0.103818996161946,-0.00909046067552843,-0.148361264700302,-0.11563460998908,-0.126286342583354
"63",-0.0300044730360272,-0.0374054553806271,-0.0357509488903194,-0.040665671941408,-0.0548768910146524,-0.0662158323324737,-0.0713923341385581,-0.0827892946816835,-0.0955699026186565,-0.100863984862591,-0.101714199892149,-0.0121352627549429,-0.146506392429203,-0.112154767783473,-0.121158382254539
"64",-0.0252839028281535,-0.0363001891654431,-0.0415699625060935,-0.0442197215821114,-0.0478987277298364,-0.062026526483236,-0.0726002939127213,-0.0809776155695214,-0.0897398366253537,-0.100476257536465,-0.103446196790876,-0.0105474052792456,-0.14441545440049,-0.115751816688416,-0.118196469662971
"65",-0.0192965994597776,-0.0315509895023052,-0.0404449285458783,-0.0498596976224199,-0.051330629961936,-0.0550674351810221,-0.0683167738341703,-0.0820449191117403,-0.0869914282277024,-0.0947506777164362,-0.103272089020472,-0.0119233846115989,-0.13835202363579,-0.118285219209896,-0.121668507020947
"66",-0.0145507819397457,-0.0252725259043212,-0.0355267138362469,-0.0484456459764857,-0.0565103860764875,-0.0580630593788909,-0.0610251313257217,-0.0773659918113099,-0.0883877337208823,-0.0920153899826337,-0.0978592099953532,-0.0105947069577166,-0.135319189907276,-0.116139188704856,-0.123674087867336
"67",-0.0127427292412223,-0.0204262787414251,-0.0293565621902134,-0.0435791034474677,-0.0550216919758699,-0.0630631542643223,-0.0638919559164934,-0.0700991475951254,-0.0851235684071825,-0.0941397875734009,-0.0955332887323346,-0.00429768571004807,-0.130783554345546,-0.117309399052097,-0.121636439829226
"68",-0.0133774032401148,-0.0188871847391368,-0.024957850444145,-0.0379025503959487,-0.0505850301079089,-0.0619465184809034,-0.0691442577637233,-0.0732875824739798,-0.078509941289453,-0.0914244760645491,-0.0981157338561189,-0.0015988714155184,-0.121820687958133,-0.117347616421395,-0.123425173505013
